Venue,Latitude,Longitude,Category,Id
Завод по производству сухих строительных смесей и водно-дисперсионных красок,47.21115303330848,38.86846845430983,Factory,500d42ece4b0629c8c522f11
Чучева 44/2,47.215511,38.857006,Housing Development,538763a3498eb3bfad5f9d89
Автомойка,47.22315726174058,38.849497246232296,Car Wash,520a38fc11d20ecbabc00e4b
Авто Мойка у Девченок,47.224641,38.851732,Car Wash,51cc2da3498ef797cba0d990
МФЦ на Шило,47.22196336112814,38.860806708873376,Government Building,5314804c498eaa4c1ea05203
Цех на Поляковском,47.208996,38.866769,Factory,579aef69498eb6b30cc3517c
Стоматологическая клиника Эстетика,47.220311,38.854397,Dentist's Office,57442f86498e78750a3b4a19
"ДОЛ ""Красный Десант""",47.16437748705223,38.736481846188255,Summer Camp,4dd54141c65be32e5f97b13e
Магнит,47.21694475427133,38.86315405368805,Grocery Store,4f33762de4b01ba98a3ba5ef
Поиск,47.22156609513,38.859596677593515,Electronics Store,52c0042c498e9f5924040f8b
Machine master,47.21864318847656,38.861328125,Hardware Store,5184fe89498e285dcbee3850
Автомойка,47.217438422831954,38.852936976974,Car Wash,5465e1e9498e40bd82c54483
crj 200,47.1964,38.870945,Plane,5247d35d11d2f9dc887940d3
Эксон Ойл,47.22537980248107,38.85514992077714,Gas Station,4f4a0858e4b093da13409292
Ара Тюнинг,47.223184,38.839272,Building,51f4f285498eb4e78b2d6ba1
Отель Абсолют,47.24195659269778,38.81332041498267,Building,5045f400e4b0c93959c672a2
Детский Сад Солнышко,47.185122,38.83241,Building,52247cac11d241e7ad2663f1
ТРК «Лето»,47.215890596624355,38.861985997203526,Shopping Mall,567ad75d498e2ec7e4eac2aa
Шаверма,47.21962941767266,38.86278653134527,Fast Food Restaurant,533af3e011d24b6c75838c9e
Магнит,47.163412,38.729804,Supermarket,583af4a7de0cbc3f33c14d1b
Поле Петрушино,47.179268435156686,38.845931269597266,Soccer Field,539ad72f498e71ce2a4c7453
33 курицы,47.163985,38.731665,Food & Drink Shop,59f59b05d8096e44c201136e
Торговый центр Калинка,47.221302,38.859548,Shipping Store,53cb766d498edc8c0e51271b
"Аптека ""Нектар""",47.218505621505436,38.8571220268529,Pharmacy,5231957411d247a17b615553
Форма,47.218155,38.855343,Gym,5a06b31e66f3cd055d6e5b4a
Наутилус,47.210308926825775,38.864393236446055,Restaurant,522b346811d2b518518b5e1e
Сбербанк,47.21796540952053,38.855982912676794,Bank,51974208498e77779baed10d
Чирковы,47.217789151084766,38.852362745103214,Residential Building (Apartment / Condo),54ad2fa3498e15535f00ab7c
"Жилой многоквартирный дом (ул. Шило, 265А)",47.21758603155694,38.84971618652344,Residential Building (Apartment / Condo),4f4d062ee4b0b2a2fd52b770
Дон Осетин,47.221706,38.85932,Caucasian Restaurant,57acc1a8498e545fc35bf6f9
Автомойка Курьер,47.21850378755524,38.85910453450082,Car Wash,56bca493498ec6b4a4e22894
Позитроника,47.221229505278,38.86136770248413,Electronics Store,5026214ce4b064c42bf92b6c
Южный город,47.21644659447215,38.85155460960859,Car Wash,52077473498e862a836f42d7
"Ул. Чехова, 346",47.217891693115234,38.85173034667969,Residential Building (Apartment / Condo),5293675d498ebf4fdf9c1e64
Пятёрочка,47.164204,38.730807,Supermarket,5ae72a1286f4cc00393ad69a
Панчо,47.221863,38.859634,Pastry Shop,5943afe189e49070edd10a08
"Автошкола ""Курьер""",47.210100939847834,38.864072333378346,College Academic Building,51067604e4b0cc5c86456517
Кафе Эдем,47.22463736367781,38.857363529416574,Café,52a35d85498edfa48d1178ae
"Кафе ""Sis-акан""",47.21836122129139,38.857980820289626,Café,4fc4c779e4b045262132a17b
"""Камелия""",47.18069839477539,38.808128356933594,Department Store,516166d3e4b09e461fbd7de8
Максимум,47.22007056045662,38.8595965530847,Gas Station,532545ef498ed088d41b750a
Простоквашино,47.21820554628999,38.860511016987466,Farmers Market,5291af4e11d2c11fc4b9c563
Мечта,47.184505,38.829021,Miscellaneous Shop,5220556611d233fd5e03cc1b
Полигон,47.222748,38.809598,Road,51cd57bb498e4f7da5576600
Ул.Ждановская,47.22842827318726,38.84834289550781,Road,52550b82498eb3cf49ca8809
